Run,LasTune,VBias,Buffered,Amplitude,Mean,Sigma,EarlyPeak,LatePeak
10984,83.8, 50,1,1.45116e+01,6.41177e+01,2.00942e-01,0,0
10985,83.8, 50,0,3.43521e+00,6.40643e+01,2.05856e-01,0,0
10986,83.8, 60,1,1.91720e+01,6.33740e+01,1.09666e-01,0,0
10987,83.8, 60,0,3.52094e+00,6.33482e+01,1.07260e-01,0,0
10988,83.8, 70,1,2.12614e+01,6.31749e+01,1.04583e-01,0,0
10989,83.8, 70,0,3.54703e+00,6.31705e+01,1.03005e-01,0,0
10991,83.8, 80,1,2.53324e+01,6.32957e+01,8.22774e-02,1,0
10992,83.8, 80,0,3.61149e+00,6.32978e+01,7.99812e-02,1,0
10993,83.8, 90,0,3.60040e+00,6.32566e+01,6.61021e-02,0,0
10994,83.8, 90,1,2.65577e+01,6.32589e+01,6.83918e-02,0,0
10995,83.8,100,1,2.81036e+01,6.32221e+01,5.43926e-02,0,0
10996,83.8,100,0,3.61030e+00,6.32095e+01,5.00594e-02,0,0
10997,83.8,110,1,3.01252e+01,6.31875e+01,4.71796e-02,0,1
10998,83.8,110,0,3.62233e+00,6.31689e+01,4.47492e-02,0,1
10999,83.8,120,1,3.24334e+01,6.31533e+01,3.92367e-02,0,1
11000,83.8,120,0,3.62261e+00,6.31294e+01,3.61441e-02,0,1
11001,83.8,130,1,3.53219e+01,6.31269e+01,3.26678e-02,0,1
11002,83.8,130,0,3.61707e+00,6.31022e+01,3.43366e-02,0,1
11003,83.8,140,1,3.89522e+01,6.31075e+01,3.02330e-02,0,1
11004,83.8,140,0,3.62225e+00,6.30756e+01,2.97334e-02,0,1
11005,83.8,150,1,4.38991e+01,6.30904e+01,2.62419e-02,1,1
11006,83.8,150,0,3.61462e+00,6.30556e+01,2.44579e-02,1,1
11007,83.8,160,1,5.11222e+01,6.30786e+01,1.96906e-02,1,1
11008,83.8,160,0,3.60151e+00,6.30388e+01,1.99276e-02,1,1
11009,83.8,170,1,6.04477e+01,6.30678e+01,1.61264e-02,1,1
11010,83.8,170,0,3.58362e+00,6.30251e+01,1.66054e-02,1,1
11011,83.8,180,1,7.31463e+01,6.30643e+01,1.28357e-02,1,1
11012,83.8,180,0,3.69339e+00,6.30146e+01,1.28988e-02,1,1
11013,83.8,190,1,9.25774e+01,6.30725e+01,1.20186e-02,1,1
11014,83.8,190,0,4.01347e+00,6.30116e+01,1.06666e-02,1,2
11015,83.8,200,1,1.22408e+02,6.31063e+01,2.39220e-02,1,1
11016,83.8,200,0,4.67897e+00,6.30207e+01,1.08086e-02,1,1
11017,83.8,210,1,1.72502e+02,6.32804e+01,6.75170e-02,0,1
11018,83.8,210,0,6.02166e+00,6.31274e+01,4.87450e-02,0,1
11020,83.8,185,1,8.60633e+01,6.30680e+01,1.18675e-02,1,1
11021,83.8,185,0,3.88480e+00,6.30118e+01,1.12511e-02,1,1
11022,83.8,220,1,3.21823e+02,6.40588e+01,3.30414e-02,0,1
11023,83.8,220,0,9.18919e+00,6.35952e+01,2.93969e-02,1,1
